0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:33:20 +0900] "GET /dealight/search/ HTTP/1.1" 200 34723
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:33:20 +0900] "GET /resources/icon/menu.png HTTP/1.1" 200 3715
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:33:20 +0900] "GET /resources/icon/logo.png HTTP/1.1" 200 106132
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:33:20 +0900] "GET /resources/icon/bell.png HTTP/1.1" 200 6803
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:33:20 +0900] "GET /resources/icon/account.png HTTP/1.1" 200 32927
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:33:21 +0900] "GET /dealight/getlist?pageNum=1&amount=10&lat=37.570414&lng=126.985320&distance=0.5&sortType=D&sortPriority=&openStore=true HTTP/1.1" 200 3704
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:33:22 +0900] "GET /resources/icon/favicon.png HTTP/1.1" 200 3983
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:33:22 +0900] "GET /resources/icon/favicon.png HTTP/1.1" 200 3983
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:33:22 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:33:24 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:33:55 +0900] "GET /dealight/search/ HTTP/1.1" 200 34725
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:33:55 +0900] "GET /resources/icon/menu.png HTTP/1.1" 200 3715
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:33:56 +0900] "GET /resources/icon/logo.png HTTP/1.1" 200 106132
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:33:56 +0900] "GET /resources/icon/bell.png HTTP/1.1" 200 6803
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:33:56 +0900] "GET /resources/icon/account.png HTTP/1.1" 200 32927
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:33:56 +0900] "GET /dealight/getlist?pageNum=1&amount=10&lat=37.570414&lng=126.985320&distance=0.5&sortType=D&sortPriority=&openStore=true HTTP/1.1" 200 3704
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:33:56 +0900] "GET /resources/icon/favicon.png HTTP/1.1" 200 3983
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:33:57 +0900] "GET /resources/icon/favicon.png HTTP/1.1" 200 3983
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:33:58 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:33:59 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:34:01 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:34:01 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:34:01 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:35:51 +0900] "GET /dealight/search/ HTTP/1.1" 200 34727
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:35:51 +0900] "GET /resources/icon/menu.png HTTP/1.1" 200 3715
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:35:51 +0900] "GET /resources/icon/logo.png HTTP/1.1" 200 106132
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:35:51 +0900] "GET /resources/icon/account.png HTTP/1.1" 200 32927
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:35:51 +0900] "GET /resources/icon/bell.png HTTP/1.1" 200 6803
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:35:52 +0900] "GET /resources/icon/favicon.png HTTP/1.1" 200 3983
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:35:52 +0900] "GET /dealight/getlist?pageNum=1&amount=10&lat=37.570414&lng=126.985320&distance=0.5&sortType=D&sortPriority=&openStore=true HTTP/1.1" 200 3704
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:35:53 +0900] "GET /resources/icon/favicon.png HTTP/1.1" 200 3983
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:35:53 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:35:55 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:35:55 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:35:56 +0900] "GET /dealight/search/ HTTP/1.1" 200 34727
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:35:56 +0900] "GET /resources/icon/menu.png HTTP/1.1" 200 3715
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:35:56 +0900] "GET /resources/icon/logo.png HTTP/1.1" 200 106132
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:35:56 +0900] "GET /resources/icon/bell.png HTTP/1.1" 200 6803
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:35:56 +0900] "GET /resources/icon/account.png HTTP/1.1" 200 32927
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:35:57 +0900] "GET /dealight/getlist?pageNum=1&amount=10&lat=37.570414&lng=126.985320&distance=0.5&sortType=D&sortPriority=&openStore=true HTTP/1.1" 200 3704
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:35:58 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:35:58 +0900] "GET /resources/icon/favicon.png HTTP/1.1" 200 3983
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:35:58 +0900] "GET /resources/icon/favicon.png HTTP/1.1" 200 3983
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:35:59 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:35:59 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:36:00 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:36:00 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
